has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,package_name,label
1,10,17488,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1608,1,tpreeded,malicious
1,10,17588,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1582,1,posthydra,malicious
1,13,47651,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.834,44386,2,noblessev2,malicious
1,10,18008,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.213,1613,1,tppipmineram,malicious
1,10,18068,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.236,1673,1,esqcvcraftmc,malicious
1,3,67233,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63505,2,clorama,malicious
1,10,18000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1612,1,esqpongultra,malicious
1,10,18000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1612,1,esqedcpumask,malicious
1,11,13411,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.164,639,3,tronpropy,malicious
1,10,18136,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1614,1,tppushverpull,malicious
1,7,27893,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,5.106,26627,1,edgehttp,malicious
1,10,18000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1612,1,selfpingpush,malicious
1,3,67248,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63515,2,beautiulsoup,malicious
1,13,49753,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4.376,45299,5,pyclonefile,malicious
1,10,18512,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1616,1,selfhackedencode,malicious
1,10,17743,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1609,1,esqstrping,malicious
1,10,18000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.22,1612,1,selfkilllgtb,malicious
1,10,18392,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1616,1,libcraftloadurl,malicious
1,10,18000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.22,1612,1,libmasklibcv,malicious
1,10,18520,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1617,1,selfmineultraram,malicious
1,10,18452,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.233,1676,1,tpgrandvmpaypal,malicious
1,9,2987,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,5.221,1570,3,richcolor,malicious
1,7,2741,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.751,1680,1,pytbrch,malicious
1,10,18580,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.233,1677,1,tposintponghydra,malicious
1,10,18129,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.22,1614,1,esqhackedmask,malicious
1,3,67251,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63517,2,beautiflusoup,malicious
1,3,67233,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63505,2,ppsutil,malicious
1,11,237304,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6.053,236626,5,zhopaorlaaato,malicious
1,10,18776,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1619,1,tpcandycontrolpush,malicious
1,48,408432,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,4.881,336718,33,requess,malicious
1,10,18580,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.234,1677,1,tpintgamevirtual,malicious
1,10,18779,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1619,1,selfrandompywosint,malicious
1,10,18000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1612,1,selframproof,malicious
