has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,package_name,label
1,10,17488,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.223,1625,1,tpreeded,malicious
1,10,17588,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.223,1599,1,posthydra,malicious
1,13,47651,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5.834,44566,2,noblessev2,malicious
1,10,18008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.224,1630,1,tppipmineram,malicious
1,10,18068,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.247,1690,1,esqcvcraftmc,malicious
1,3,67233,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63505,2,clorama,malicious
1,10,18000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.227,1629,1,esqpongultra,malicious
1,10,18000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.228,1629,1,esqedcpumask,malicious
1,11,13411,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.164,639,3,tronpropy,malicious
1,10,18136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.229,1631,1,tppushverpull,malicious
1,7,27893,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5.106,26686,1,edgehttp,malicious
1,10,18000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.227,1629,1,selfpingpush,malicious
1,3,67248,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63515,2,beautiulsoup,malicious
1,13,49753,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4.376,45299,5,pyclonefile,malicious
1,10,18512,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.226,1633,1,selfhackedencode,malicious
1,10,17743,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.225,1626,1,esqstrping,malicious
1,10,18000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.231,1629,1,selfkilllgtb,malicious
