has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,ast_parse_success,ast_num_dangerous_builtin_calls,ast_num_getattr_obfuscation,ast_num_dynamic_calls,ast_num_imports,ast_num_high_entropy_strings,ast_max_string_entropy,ast_num_functions,ast_max_nesting_depth,package_name,label
1,13,47651,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.834,44386,2,1,7,0,0,2,6,5.59,0,10,noblessev2,malicious
1,7,27893,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,5.106,26627,1,1,2,0,0,20,31,5.438,26,14,edgehttp,malicious
1,7,2741,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.751,1680,1,1,1,0,0,6,2,5.39,1,10,pytbrch,malicious
1,11,237304,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6.053,236626,5,1,6,0,0,4,0,0.0,0,8,zhopaorlaaato,malicious
1,48,408432,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,4.881,336718,33,1,2,0,3,272,230,5.7,631,16,requess,malicious
1,7,3541,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.773,1800,1,1,1,0,0,6,1,5.67,1,10,pytorcu,malicious
1,137,1396362,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,5.031,1308942,126,1,1,0,0,733,826,6.764,1523,24,aliyun-oss2,malicious
1,7,2827,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.724,1682,1,1,1,0,0,6,2,5.324,1,10,customtkznter,malicious
1,3,1186430,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.821,1185893,2,1,2,0,0,4,2,5.794,0,9,tryhackme-offensive,malicious
1,10,36467,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,4.893,34650,2,1,1,0,0,19,34,5.47,32,18,more-colors,malicious
1,8,98683,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,6.075,97726,2,1,0,0,0,5,2,6.003,0,9,pipcolouringskits,malicious
1,3,749812,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.899,749281,2,1,2,0,0,4,2,5.78,0,9,panderequests,malicious
1,7,3500,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.753,1705,1,1,1,0,0,6,2,5.639,1,10,coloramwa,malicious
1,7,3351,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.784,1882,1,1,1,0,0,6,2,5.605,1,10,webt3,malicious
1,10,9478633,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,4.187,9476847,4,1,1,0,0,10,3,5.048,20,10,pydefendermalware123,malicious
1,7,3633,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.737,1740,1,1,1,0,0,6,2,5.66,1,10,oillow,malicious
1,7,3789,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.817,1976,1,1,1,0,0,6,2,5.67,1,10,pytcrch,malicious
1,3,1673,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.995,1443,2,1,3,0,0,1,1,5.586,1,8,pthttp,malicious
1,47,422182,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,4.83,342610,33,1,2,0,3,253,229,5.7,641,16,rqrqrq,malicious
1,7,2544,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.619,1377,1,1,1,0,0,6,2,5.425,1,10,pollow,malicious
1,7,3131,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.761,1794,1,1,1,0,0,6,2,5.523,1,10,requirmentstxtt,malicious
0,5,5965,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.566,5251,1,1,2,0,0,0,1,5.854,0,7,pythonpathenv,malicious
1,128,915311,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,4.699,721174,78,0,0,0,0,0,0,0.0,0,0,urllib,malicious
1,7,3319,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.727,1646,1,1,1,0,0,6,2,5.654,1,10,py-corfd,malicious
1,11,2962,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.884,908,3,1,6,0,0,7,1,4.268,0,10,maxpatrol,malicious
1,8,69764,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,4.881,68116,2,1,2,0,0,37,69,5.412,58,18,scraperworldapi,malicious
1,13,21208,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.322,16673,5,1,2,0,4,3,7,6.368,2,16,pyprotectfile,malicious
1,7,3497,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.791,1908,1,1,1,0,0,6,1,5.639,1,10,requiremetns,malicious
1,8,196442,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.811,195367,2,1,2,0,0,4,2,5.78,0,9,aeodatav04,malicious
1,7,2790,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.698,1551,1,1,1,0,0,6,2,5.389,1,10,Sijplejson,malicious
0,9,464204,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4.38,461837,1,1,1,0,0,14,0,0.0,0,8,discord-slash,malicious
1,7,2936,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.723,1637,1,1,1,0,0,6,2,5.506,1,10,Matplotlr,malicious
