has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,ast_parse_success,ast_num_dangerous_builtin_calls,ast_num_getattr_obfuscation,ast_num_dynamic_calls,ast_num_imports,ast_num_high_entropy_strings,ast_max_string_entropy,ast_num_functions,ast_max_nesting_depth,package_name,label
1,13,47651,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5.834,44566,2,1,1,6,6,2,6,5.59,0,10,noblessev2,malicious
1,7,27893,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5.106,26686,1,1,3,3,1,20,31,5.438,26,14,edgehttp,malicious
1,7,2741,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.755,1714,1,0,0,0,0,0,0,0.0,0,0,pytbrch,malicious
1,11,237304,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6.058,236688,5,0,0,0,0,0,0,0.0,0,0,zhopaorlaaato,malicious
1,48,408432,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,4.885,336791,33,1,4,4,4,272,230,5.7,631,16,requess,malicious
1,7,3541,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.776,1834,1,1,0,1,1,6,1,5.67,1,10,pytorcu,malicious
1,137,1396362,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,5.031,1308976,126,1,0,1,1,733,826,6.764,1523,24,aliyun-oss2,malicious
1,7,2827,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.727,1719,1,0,0,0,0,0,0,0.0,0,0,customtkznter,malicious
1,3,1186430,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.826,1185955,2,1,0,2,2,4,2,5.794,0,9,tryhackme-offensive,malicious
1,10,36467,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.896,34723,2,1,4,3,0,19,34,5.47,32,18,more-colors,malicious
1,8,98683,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,6.089,98536,2,1,4,4,0,5,2,6.028,0,9,pipcolouringskits,malicious
1,3,749812,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.906,749343,2,1,0,2,2,4,2,5.78,0,9,panderequests,malicious
1,7,3500,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.755,1742,1,0,0,0,0,0,0,0.0,0,0,coloramwa,malicious
1,7,3351,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.789,1916,1,0,0,0,0,0,0,0.0,0,0,webt3,malicious
1,10,9478633,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4.197,9476920,4,1,3,4,1,10,3,5.048,20,10,pydefendermalware123,malicious
1,7,3633,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.74,1777,1,1,0,1,1,6,2,5.66,1,10,oillow,malicious
1,7,3789,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.821,2013,1,0,0,0,0,0,0,0.0,0,0,pytcrch,malicious
1,3,1673,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.009,1474,2,1,3,0,1,1,1,5.61,1,8,pthttp,malicious
1,47,422182,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,4.84,342764,33,1,9,9,4,253,229,5.7,641,16,rqrqrq,malicious
1,7,2544,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.623,1408,1,1,0,1,1,6,2,5.425,1,10,pollow,malicious
1,7,3131,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.765,1831,1,0,0,0,0,0,0,0.0,0,0,requirmentstxtt,malicious
0,5,5965,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.591,5282,1,1,1,1,1,0,1,5.854,0,7,pythonpathenv,malicious
1,128,915311,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,4.699,721202,78,0,0,0,0,0,0,0.0,0,0,urllib,malicious
1,7,3319,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.728,1686,1,0,0,0,0,0,0,0.0,0,0,py-corfd,malicious
1,11,2962,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.904,992,3,1,3,3,3,7,1,4.268,0,10,maxpatrol,malicious
1,8,69764,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4.881,68256,2,1,8,6,0,37,69,5.412,58,18,scraperworldapi,malicious
1,13,21208,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5.329,16735,5,1,0,2,6,3,7,6.368,2,16,pyprotectfile,malicious
1,7,3497,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.794,1948,1,0,0,0,0,0,0,0.0,0,0,requiremetns,malicious
1,8,196442,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.818,195429,2,1,0,2,2,4,2,5.78,0,9,aeodatav04,malicious
1,7,2790,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.705,1582,1,0,0,0,0,0,0,0.0,0,0,Sijplejson,malicious
0,9,464204,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4.386,461865,1,1,0,1,1,14,0,0.0,0,8,discord-slash,malicious
1,7,2936,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.724,1677,1,0,0,0,0,0,0,0.0,0,0,Matplotlr,malicious
1,7,3018,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.683,1566,1,0,0,0,0,0,0,0.0,0,0,pycjrd,malicious
1,7,2778,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.681,1501,1,0,0,0,0,0,0,0.0,0,0,py-cocd,malicious
