package_name,label,typosquat_family
selfcraftint,malicious,other
urlvm,malicious,other
settinginmaass,malicious,other
pytest-tt-ddriven,malicious,other
esqccinfo,malicious,other
libcraftsplithacked,malicious,other
esqmaskpepget,malicious,other
xolomdabxhhrue,malicious,other
pyfiglets,malicious,other
bytedance-chat,malicious,other
sitechdemo100,malicious,other
frefereffee,malicious,other
aryi,malicious,other
tpreccmine,malicious,other
esqcontrolintintel,malicious,other
selfosintstudyhttp,malicious,other
ro-py-wrapper,malicious,other
xhttpsp,malicious,other
quarejma-botnet,malicious,other
virtualvirtual,malicious,other
requeits,malicious,requests
fastpep8,malicious,other
lab-3-package-438d82fc,malicious,other
py-lgtbrand,malicious,other
toolpyw,malicious,other
libpostint,malicious,other
gamepost,malicious,other
etherriuum,malicious,other
hydrastr,malicious,other
xlsxwriiter,malicious,other
u283udsfru,malicious,other
libsuperproofint,malicious,other
selfinfocandy,malicious,other
esqpingpost,malicious,other
py-intpywhacked,malicious,other
tppywver,malicious,other
tpguiintelget,malicious,other
cilorama,malicious,colorama
dicord-webhook,malicious,other
tptoolurlgui,malicious,other
py-adreplaceinfo,malicious,other
tptoolpywgui,malicious,other
tplibintstr,malicious,other
networkdriver,malicious,other
beautifulsou4,malicious,beautifulsoup4
blypack,malicious,other
syntax-init,malicious,other
libcpu,malicious,other
libpostcpumine,malicious,other
esqrandomurlhydra,malicious,other
artifact-lab-3-package-4c04b1a2,malicious,other
tpstudyosintvirtual,malicious,other
pytohn,malicious,pytorch
pytprch,malicious,pytorch
libnvidiarecontrol,malicious,other
calculator-2c397c49ab20c445,malicious,other
esqvirtualpush,malicious,other
manyhttp,malicious,aiohttp
antchain-sdk-billing,malicious,other
selfcvcvmask,malicious,other
openwsaa,malicious,other
selfpippongpip,malicious,other
python-binancee,malicious,other
tphttpvisa,malicious,other
loadvirtual,malicious,other
selfvisacpuhydra,malicious,other
tpproofmcultra,malicious,other
esqmcrandomget,malicious,other
fuzzywuzy,malicious,other
Sagepay,malicious,other
py-mcultracraft,malicious,other
microsoftoauth,malicious,other
py-pywvisakill,malicious,other
selfinfoencodegame,malicious,other
speedyquests,malicious,requests
hydravirtual,malicious,other
librandomstudy,malicious,other
esqpymask,malicious,other
rabin-sharmakobau,malicious,other
thesis-uniud-package,malicious,other
adpull,malicious,other
libverpulled,malicious,other
selfinfopong,malicious,other
solanautil,malicious,other
libcraftcontrolcraft,malicious,other
new-requests-2022,malicious,requests
pylint-redis,malicious,other
tpreinfo,malicious,other
progerssbar2,malicious,other
