has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,package_name,label,label_encoded,code_density,py_file_ratio,suspicious_indicator_count,avg_file_size,is_unusually_small
1,10,17999,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1611,1,selfcraftint,malicious,1,161.1,0.1,3,1799.9,0
1,10,17076,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1578,1,urlvm,malicious,1,157.8,0.1,3,1707.6,0
1,10,152115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.506,150832,2,settinginmaass,malicious,1,15083.2,0.2,2,15211.5,0
1,12,2402,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.889,993,2,pytest-tt-ddriven,malicious,1,82.75,0.16666666666666666,3,200.16666666666666,1
1,10,17616,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1609,1,esqccinfo,malicious,1,160.9,0.1,3,1761.6,0
1,10,18907,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.22,1620,1,libcraftsplithacked,malicious,1,162.0,0.1,3,1890.7,0
1,10,18136,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1614,1,esqmaskpepget,malicious,1,161.4,0.1,3,1813.6,0
1,10,5211,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.055,3956,2,xolomdabxhhrue,malicious,1,395.6,0.2,3,521.1,0
0,570,6072470,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4.889,40911,7,pyfiglets,malicious,1,71.77368421052631,0.012280701754385965,4,10653.456140350878,0
1,12,2354,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.888,981,2,bytedance-chat,malicious,1,81.75,0.16666666666666666,3,196.16666666666666,1
1,8,1446,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.784,852,1,sitechdemo100,malicious,1,106.5,0.125,3,180.75,1
1,10,136004,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,4.947,133648,3,frefereffee,malicious,1,13364.8,0.3,7,13600.4,0
1,10,61637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.748,60143,2,aryi,malicious,1,6014.3,0.2,1,6163.7,0
1,10,17752,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.213,1611,1,tpreccmine,malicious,1,161.1,0.1,3,1775.2,0
1,10,18776,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1619,1,esqcontrolintintel,malicious,1,161.9,0.1,3,1877.6,0
1,10,18773,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1619,1,selfosintstudyhttp,malicious,1,161.9,0.1,3,1877.3,0
1,11,2960,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5.751,1975,5,ro-py-wrapper,malicious,1,179.54545454545453,0.45454545454545453,4,269.09090909090907,0
1,7,1782,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.973,1169,1,xhttpsp,malicious,1,167.0,0.14285714285714285,3,254.57142857142858,1
1,3,449,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.739,265,2,quarejma-botnet,malicious,1,88.33333333333333,0.6666666666666666,2,149.66666666666666,1
1,10,18228,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.211,1587,1,virtualvirtual,malicious,1,158.7,0.1,3,1822.8,0
1,7,3238,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.69,1619,1,requeits,malicious,1,231.28571428571428,0.14285714285714285,4,462.57142857142856,0
1,9,5068,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.952,3564,2,fastpep8,malicious,1,396.0,0.2222222222222222,3,563.1111111111111,0
1,11,2532,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4.777,1515,5,lab-3-package-438d82fc,malicious,1,137.72727272727272,0.45454545454545453,4,230.1818181818182,0
1,10,17872,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1611,1,py-lgtbrand,malicious,1,161.1,0.1,3,1787.2,0
1,10,17332,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.213,1580,1,toolpyw,malicious,1,158.0,0.1,3,1733.2,0
1,10,17744,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1610,1,libpostint,malicious,1,161.0,0.1,3,1774.4,0
1,10,17460,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.206,1581,1,gamepost,malicious,1,158.1,0.1,3,1746.0,0
1,7,3039,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.714,1634,1,etherriuum,malicious,1,233.42857142857142,0.14285714285714285,4,434.14285714285717,0
1,10,17460,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1581,1,hydrastr,malicious,1,158.1,0.1,3,1746.0,0
1,3,67245,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63513,2,xlsxwriiter,malicious,1,21171.0,0.6666666666666666,3,22415.0,0
1,16,291516,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,4.82,7095,4,u283udsfru,malicious,1,443.4375,0.25,5,18219.75,0
1,10,18580,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.235,1677,1,libsuperproofint,malicious,1,167.7,0.1,3,1858.0,0
1,10,18128,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1613,1,selfinfocandy,malicious,1,161.3,0.1,3,1812.8,0
1,10,17872,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1611,1,esqpingpost,malicious,1,161.1,0.1,3,1787.2,0
1,10,18392,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.221,1616,1,py-intpywhacked,malicious,1,161.6,0.1,3,1839.2,0
1,10,17488,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1608,1,tppywver,malicious,1,160.8,0.1,3,1748.8,0
1,10,18196,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.231,1674,1,tpguiintelget,malicious,1,167.4,0.1,3,1819.6,0
1,7,2629,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.65,1416,1,cilorama,malicious,1,202.28571428571428,0.14285714285714285,4,375.57142857142856,0
1,3,67254,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63519,2,dicord-webhook,malicious,1,21173.0,0.6666666666666666,3,22418.0,0
1,10,18000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.213,1612,1,tptoolurlgui,malicious,1,161.2,0.1,3,1800.0,0
1,10,18520,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.22,1617,1,py-adreplaceinfo,malicious,1,161.7,0.1,3,1852.0,0
1,10,17959,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.201,1561,1,tptoolpywgui,malicious,1,156.1,0.1,3,1795.9,0
1,10,17940,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.233,1672,1,tplibintstr,malicious,1,167.2,0.1,3,1794.0,0
1,3,1613592,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.824,1613063,2,networkdriver,malicious,1,537687.6666666666,0.6666666666666666,3,537864.0,0
1,3,67251,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63517,2,beautifulsou4,malicious,1,21172.333333333332,0.6666666666666666,3,22417.0,0
1,8,1062,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.626,760,2,blypack,malicious,1,95.0,0.25,2,132.75,1
1,7,1296,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.912,700,1,syntax-init,malicious,1,100.0,0.14285714285714285,3,185.14285714285714,1
1,10,17204,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1579,1,libcpu,malicious,1,157.9,0.1,3,1720.4,0
1,10,18259,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1614,1,libpostcpumine,malicious,1,161.4,0.1,3,1825.9,0
1,10,18708,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.236,1678,1,esqrandomurlhydra,malicious,1,167.8,0.1,3,1870.8,0
1,9,1827,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4.756,1207,2,artifact-lab-3-package-4c04b1a2,malicious,1,134.11111111111111,0.2222222222222222,3,203.0,1
1,10,18964,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.234,1680,1,tpstudyosintvirtual,malicious,1,168.0,0.1,3,1896.4,0
1,7,3400,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.775,1825,1,pytohn,malicious,1,260.7142857142857,0.14285714285714285,4,485.7142857142857,0
1,7,3585,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.806,1928,1,pytprch,malicious,1,275.42857142857144,0.14285714285714285,4,512.1428571428571,0
1,10,18776,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1619,1,libnvidiarecontrol,malicious,1,161.9,0.1,3,1877.6,0
1,11,3962,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4.966,1921,3,calculator-2c397c49ab20c445,malicious,1,174.63636363636363,0.2727272727272727,3,360.1818181818182,0
1,10,18253,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1614,1,esqvirtualpush,malicious,1,161.4,0.1,3,1825.3,0
1,12,11815,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,5.093,2444,5,manyhttp,malicious,1,203.66666666666666,0.4166666666666667,5,984.5833333333334,0
1,8,1279,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.747,804,1,antchain-sdk-billing,malicious,1,100.5,0.125,3,159.875,1
1,10,18011,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1613,1,selfcvcvmask,malicious,1,161.3,0.1,3,1801.1,0
1,7,3507,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.753,1786,1,openwsaa,malicious,1,255.14285714285714,0.14285714285714285,4,501.0,0
1,10,18324,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.233,1675,1,selfpippongpip,malicious,1,167.5,0.1,3,1832.4,0
1,3,67257,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63521,2,python-binancee,malicious,1,21173.666666666668,0.6666666666666666,3,22419.0,0
1,10,17744,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1610,1,tphttpvisa,malicious,1,161.0,0.1,3,1774.4,0
1,10,17844,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.211,1584,1,loadvirtual,malicious,1,158.4,0.1,3,1784.4,0
1,10,18520,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1617,1,selfvisacpuhydra,malicious,1,161.7,0.1,3,1852.0,0
1,10,18264,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1615,1,tpproofmcultra,malicious,1,161.5,0.1,3,1826.4,0
1,10,18263,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1614,1,esqmcrandomget,malicious,1,161.4,0.1,3,1826.3,0
1,12,2964,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,4.769,1020,2,fuzzywuzy,malicious,1,85.0,0.16666666666666666,5,247.0,1
1,8,3178,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,4.818,2623,2,Sagepay,malicious,1,327.875,0.25,5,397.25,0
1,10,18387,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.18,1608,1,py-mcultracraft,malicious,1,160.8,0.1,3,1838.7,0
1,8,1815,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5.143,923,2,microsoftoauth,malicious,1,115.375,0.25,3,226.875,1
1,10,18324,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.241,1675,1,py-pywvisakill,malicious,1,167.5,0.1,3,1832.4,0
1,10,18773,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1619,1,selfinfoencodegame,malicious,1,161.9,0.1,3,1877.3,0
1,9,39403,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,5.017,2146,1,speedyquests,malicious,1,238.44444444444446,0.1111111111111111,4,4378.111111111111,0
1,10,17969,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1585,1,hydravirtual,malicious,1,158.5,0.1,3,1796.9,0
1,10,18256,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1614,1,librandomstudy,malicious,1,161.4,0.1,3,1825.6,0
1,10,17616,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1609,1,esqpymask,malicious,1,160.9,0.1,3,1761.6,0
1,8,1258,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.578,710,1,rabin-sharmakobau,malicious,1,88.75,0.125,3,157.25,1
1,10,2369,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4.902,1694,3,thesis-uniud-package,malicious,1,169.4,0.3,3,236.9,0
1,10,17205,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1580,1,adpull,malicious,1,158.0,0.1,3,1720.5,0
1,10,18009,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1614,1,libverpulled,malicious,1,161.4,0.1,3,1800.9,0
1,10,18000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1612,1,selfinfopong,malicious,1,161.2,0.1,3,1800.0,0
1,23,8102687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72,1145,2,solanautil,malicious,1,49.78260869565217,0.08695652173913043,1,352290.73913043475,1
1,10,19023,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1619,1,libcraftcontrolcraft,malicious,1,161.9,0.1,3,1902.3,0
1,47,422560,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,4.832,342604,33,new-requests-2022,malicious,1,7289.446808510638,0.7021276595744681,10,8990.63829787234,0
1,12,2322,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.891,973,2,pylint-redis,malicious,1,81.08333333333333,0.16666666666666666,3,193.5,1
1,10,17485,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1608,1,tpreinfo,malicious,1,160.8,0.1,3,1748.5,0
1,3,67248,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63515,2,progerssbar2,malicious,1,21171.666666666668,0.6666666666666666,3,22416.0,0
1,8,1189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.747,846,2,nvkvictim-poc,malicious,1,105.75,0.25,2,148.625,1
1,7,2749,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.708,1576,1,selennuim,malicious,1,225.14285714285714,0.14285714285714285,4,392.7142857142857,0
1,10,18136,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1614,1,librandloadad,malicious,1,161.4,0.1,3,1813.6,0
1,10,17872,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1611,1,tpsplitlgtb,malicious,1,161.1,0.1,3,1787.2,0
1,10,17591,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1582,1,minehydra,malicious,1,158.2,0.1,3,1759.1,0
1,10,18068,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.23,1673,1,selfvergetcc,malicious,1,167.3,0.1,3,1806.8,0
1,10,18133,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1614,1,tpramvisapush,malicious,1,161.4,0.1,3,1813.3,0
1,11,2760,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.951,1321,3,tonvia,malicious,1,120.0909090909091,0.2727272727272727,2,250.9090909090909,1
0,11,13855,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.965,2993,2,kzip,malicious,1,272.09090909090907,0.18181818181818182,2,1259.5454545454545,0
1,10,17744,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.221,1610,1,py-pipcvad,malicious,1,161.0,0.1,3,1774.4,0
1,10,17872,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1611,1,libpushvisa,malicious,1,161.1,0.1,3,1787.2,0
1,7,1077,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4.93,713,1,malicus,malicious,1,101.85714285714286,0.14285714285714285,3,153.85714285714286,1
1,10,17872,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.22,1611,1,esqhttpinfo,malicious,1,161.1,0.1,3,1787.2,0
1,3,67251,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63517,2,beautiulsoup4,malicious,1,21172.333333333332,0.6666666666666666,3,22417.0,0
1,3,67245,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63513,2,piynstaller,malicious,1,21171.0,0.6666666666666666,3,22415.0,0
1,7,3489,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.719,1692,1,pillo2,malicious,1,241.71428571428572,0.14285714285714285,4,498.42857142857144,0
1,8,1043,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.769,518,1,malimalo,malicious,1,64.75,0.125,3,130.375,1
1,7,3099,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.711,1562,1,py-crd,malicious,1,223.14285714285714,0.14285714285714285,4,442.7142857142857,0
