has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,package_name,label
1,10,17999,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1611,1,selfcraftint,malicious
1,10,17076,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1578,1,urlvm,malicious
1,10,152115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.506,150832,2,settinginmaass,malicious
1,12,2402,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.889,993,2,pytest-tt-ddriven,malicious
1,10,17616,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1609,1,esqccinfo,malicious
1,10,18907,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.22,1620,1,libcraftsplithacked,malicious
1,10,18136,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1614,1,esqmaskpepget,malicious
1,10,5211,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.055,3956,2,xolomdabxhhrue,malicious
0,570,6072470,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4.889,40911,7,pyfiglets,malicious
1,12,2354,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.888,981,2,bytedance-chat,malicious
1,8,1446,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.784,852,1,sitechdemo100,malicious
1,10,136004,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,4.947,133648,3,frefereffee,malicious
1,10,61637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.748,60143,2,aryi,malicious
1,10,17752,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.213,1611,1,tpreccmine,malicious
1,10,18776,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1619,1,esqcontrolintintel,malicious
1,10,18773,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1619,1,selfosintstudyhttp,malicious
1,11,2960,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5.751,1975,5,ro-py-wrapper,malicious
1,7,1782,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.973,1169,1,xhttpsp,malicious
1,3,449,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.739,265,2,quarejma-botnet,malicious
1,10,18228,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.211,1587,1,virtualvirtual,malicious
1,7,3238,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.69,1619,1,requeits,malicious
1,9,5068,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.952,3564,2,fastpep8,malicious
1,11,2532,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4.777,1515,5,lab-3-package-438d82fc,malicious
1,10,17872,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1611,1,py-lgtbrand,malicious
1,10,17332,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.213,1580,1,toolpyw,malicious
1,10,17744,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1610,1,libpostint,malicious
1,10,17460,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.206,1581,1,gamepost,malicious
1,7,3039,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.714,1634,1,etherriuum,malicious
1,10,17460,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1581,1,hydrastr,malicious
1,3,67245,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63513,2,xlsxwriiter,malicious
